Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc,Avg Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Avg Max Air Temp (F),qc,Avg Min Air Temp (F),qc,Avg Air Temp (F),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (F),qc,Avg Wind Speed (mph),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,Oct 2024,4.73,K,0.00, ,347, ,10.5,K,85.0,K,50.6,K,67.3,K,71, ,27, ,46,K,45.0,K,5.1,K,71.5,K
2,FivePoints,San Joaquin Valley,Nov 2024,2.34, ,0.83,K,231, ,8.0, ,65.6,K,37.9,K,51.0,K,85, ,43, ,64,K,38.1,K,4.8,K,60.4, 
2,FivePoints,San Joaquin Valley,Dec 2024,1.20, ,0.86, ,163, ,9.9, ,60.4, ,38.9, ,48.5, ,96, ,65, ,85, ,44.1, ,4.2, ,54.4, 
2,FivePoints,San Joaquin Valley,Jan 2025,1.99, ,0.24, ,228, ,7.0, ,61.8, ,32.0, ,45.7, ,88, ,44, ,67, ,35.1, ,4.3,K,48.7, 
2,FivePoints,San Joaquin Valley,Feb 2025,2.68, ,0.89, ,279, ,9.0, ,66.9,K,40.6,K,53.2,K,86, ,43, ,65,K,41.3,K,6.4,K,52.7, 
2,FivePoints,San Joaquin Valley,Mar 2025,3.55, ,1.60, ,324, ,9.6,K,68.3,K,42.4, ,55.3,K,87, ,42, ,65,K,43.2,K,6.2, ,56.6, 
2,FivePoints,San Joaquin Valley,Apr 2025,5.35, ,0.43, ,457, ,9.9, ,76.4,K,47.0, ,62.2, ,76, ,35, ,52, ,43.9, ,5.5, ,63.3, 
2,FivePoints,San Joaquin Valley,May 2025,8.19, ,0.00, ,594, ,10.8, ,85.4, ,52.7,K,70.0, ,68, ,29, ,43, ,46.3, ,6.8, ,75.0,K
2,FivePoints,San Joaquin Valley,Jun 2025,9.21, ,0.00, ,687, ,12.1, ,92.8, ,57.9, ,76.7, ,63, ,24, ,38, ,49.2, ,6.2,K,80.8,K
2,FivePoints,San Joaquin Valley,Jul 2025,9.08, ,0.00, ,669, ,14.0, ,94.9, ,60.5, ,78.6, ,68, ,27, ,42, ,53.5, ,5.8, ,81.6,K
2,FivePoints,San Joaquin Valley,Aug 2025,8.26, ,0.07, ,562, ,14.4, ,97.8, ,62.8,K,80.9,K,67, ,24, ,40,K,54.1,K,5.5, ,80.9,K
2,FivePoints,San Joaquin Valley,Sep 2025,5.94, ,0.13, ,467, ,15.3,K,91.3, ,61.3,K,76.1, ,76, ,33, ,50,L,55.6,L,5.2, ,78.5,K
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
